sh temp.sh 실행 시 결과는 아래와 같아

memcpy 안하는 방법 없을까? gemm_int4_cl_adreno안에 clCreateBuffer가 문제가 되는 걸 수도 있어

<|im_start|>assistant
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.12 repack=0.03 fp32->fp16=2.13 gemm=8.61 fp16->fp32=4.16 | total=16.06 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=2.16 repack=0.06 fp32->fp16=0.00 gemm=9.79 fp16->fp32=6.10 | total=18.11 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.85 repack=0.02 fp32->fp16=4.08 gemm=11.44 fp16->fp32=0.84 | total=17.24 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.59 repack=0.05 fp32->fp16=2.05 gemm=4.14 fp16->fp32=1.30 | total=8.13 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.19 repack=0.04 fp32->fp16=0.00 gemm=1.82 fp16->fp32=0.31 | total=2.36 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.19 repack=0.03 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.31 | total=2.31 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.64 gemm=4.45 fp16->fp32=0.38 | total=6.79 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.69 repack=0.02 fp32->fp16=1.70 gemm=8.33 fp16->fp32=1.61 | total=12.36 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.76 repack=0.01 fp32->fp16=0.00 gemm=9.80 fp16->fp32=2.92 | total=13.50 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.86 repack=0.05 fp32->fp16=3.97 gemm=9.41 fp16->fp32=0.50 | total=14.79 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.70 repack=0.04 fp32->fp16=2.29 gemm=4.21 fp16->fp32=1.51 | total=8.76 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.23 repack=0.04 fp32->fp16=0.00 gemm=1.76 fp16->fp32=0.37 | total=2.40 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.83 fp16->fp32=0.37 | total=2.43 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.61 gemm=4.38 fp16->fp32=0.38 | total=6.69 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.66 repack=0.02 fp32->fp16=1.73 gemm=8.56 fp16->fp32=2.25 | total=13.22 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.98 repack=0.02 fp32->fp16=0.00 gemm=10.00 fp16->fp32=6.17 | total=17.19 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.84 repack=0.04 fp32->fp16=3.99 gemm=11.52 fp16->fp32=1.19 | total=17.59 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=1.00 repack=0.06 fp32->fp16=2.44 gemm=4.18 fp16->fp32=1.50 | total=9.19 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.22 repack=0.04 fp32->fp16=0.00 gemm=1.80 fp16->fp32=0.37 | total=2.44 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.27 repack=0.03 fp32->fp16=0.00 gemm=1.82 fp16->fp32=0.47 | total=2.59 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.31 repack=0.02 fp32->fp16=1.61 gemm=4.49 fp16->fp32=0.38 | total=6.81 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.71 repack=0.02 fp32->fp16=1.65 gemm=8.33 fp16->fp32=2.56 | total=13.27 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.98 repack=0.03 fp32->fp16=0.00 gemm=9.75 fp16->fp32=5.14 | total=15.90 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.10 repack=0.03 fp32->fp16=4.84 gemm=9.49 fp16->fp32=0.61 | total=16.07 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.43 repack=0.02 fp32->fp16=1.89 gemm=4.21 fp16->fp32=1.50 | total=8.06 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.22 repack=0.03 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.37 | total=2.44 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.90 fp16->fp32=0.47 | total=2.61 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.31 repack=0.02 fp32->fp16=1.61 gemm=4.15 fp16->fp32=0.38 | total=6.47 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.70 repack=0.01 fp32->fp16=1.64 gemm=8.29 fp16->fp32=3.06 | total=13.72 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.41 repack=0.03 fp32->fp16=0.00 gemm=9.34 fp16->fp32=5.00 | total=15.79 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.89 repack=0.02 fp32->fp16=4.17 gemm=9.54 fp16->fp32=0.77 | total=15.39 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.66 repack=0.03 fp32->fp16=2.06 gemm=4.15 fp16->fp32=1.51 | total=8.42 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.20 repack=0.02 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.31 | total=2.35 ms
