label,subgraph_idx,subgraph_name,op_idx,op_type,m,n,k,input_shapes,output_shapes
prefill-decode,0,decode,922,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,929,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,932,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,935,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,967,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,973,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,975,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,980,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,985,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,990,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,997,FULLY_CONNECTED,1,4096,1536,1,1,1536|4096,1536|,1,1,4096
prefill-decode,0,decode,1000,FULLY_CONNECTED,1,512,1536,1,1,1536|512,1536|,1,1,512
prefill-decode,0,decode,1003,FULLY_CONNECTED,1,512,1536,1,1,1536|512,1536|,1,1,512
prefill-decode,0,decode,1035,FULLY_CONNECTED,1,1536,4096,1,1,4096|1536,4096|,1,1,1536
prefill-decode,0,decode,1041,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,1043,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,1048,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,1053,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1058,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1065,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1085,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1091,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1093,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1098,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1103,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1108,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1115,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1135,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1141,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1143,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1148,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1153,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1158,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1165,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1185,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1191,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1193,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1198,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1203,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1208,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1215,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1235,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1241,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1243,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1248,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1253,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1258,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1265,FULLY_CONNECTED,1,4096,1536,1,1,1536|4096,1536|,1,1,4096
prefill-decode,0,decode,1285,FULLY_CONNECTED,1,1536,4096,1,1,4096|1536,4096|,1,1,1536
prefill-decode,0,decode,1291,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1293,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1298,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1303,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1308,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1315,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1335,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1341,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1343,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1348,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1353,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1358,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1365,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1385,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1391,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1393,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1398,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1403,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1408,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1415,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1435,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1441,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1443,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1448,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1453,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1458,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1465,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1485,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1491,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1493,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1498,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1503,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1508,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1515,FULLY_CONNECTED,1,4096,1536,1,1,1536|4096,1536|,1,1,4096
prefill-decode,0,decode,1535,FULLY_CONNECTED,1,1536,4096,1,1,4096|1536,4096|,1,1,1536
prefill-decode,0,decode,1541,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1543,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1548,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1553,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1558,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1565,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1585,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1591,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1593,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1598,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1603,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1608,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1615,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1635,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1641,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1643,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1648,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1653,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1658,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1665,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1685,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1691,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1693,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1698,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1703,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1708,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1715,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1735,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1741,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1743,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1748,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1753,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1758,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1765,FULLY_CONNECTED,1,4096,1536,1,1,1536|4096,1536|,1,1,4096
prefill-decode,0,decode,1785,FULLY_CONNECTED,1,1536,4096,1,1,4096|1536,4096|,1,1,1536
prefill-decode,0,decode,1791,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1793,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1798,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1803,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1808,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1815,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1835,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1841,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1843,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1848,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1853,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,1858,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,1865,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,1885,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,1891,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1893,FULLY_CONNECTED,1,12288,1536,1,1,1536|12288,1536|,1,1,12288
prefill-decode,0,decode,1898,FULLY_CONNECTED,1,1536,12288,1,1,12288|1536,12288|,1,1,1536
prefill-decode,0,decode,1903,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
